Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,Open,High,Low,Close,Adj Close,Volume
1959-12-01,59.06,1.83,3.39,29.4,4.69,501.88,15.55,28.81,18.62,58.700001,59.889999,58.599998,59.889999,59.889999,72210000
1960-01-01,58.03,1.87,3.39,29.3,4.72,494.81,15.92,28.91,18.34,59.91,60.389999,55.610001,55.610001,55.610001,63920000
1960-02-01,55.78,1.9,3.39,29.4,4.49,474.01,16.17,28.81,17.55,55.959999,56.82,54.73,56.119999,56.119999,60500000
1960-03-01,55.02,1.94,3.39,29.4,4.25,467.55,16.49,28.81,17.29,56.009998,56.009998,53.470001,55.34,55.34,65710000
1960-04-01,55.73,1.94,3.35,29.5,4.28,471.98,16.46,28.34,17.43,55.43,56.59,54.369999,54.369999,54.369999,57300000
1960-05-01,55.22,1.95,3.3,29.5,4.35,467.66,16.49,27.98,17.26,54.130001,55.830002,54.130001,55.830002,55.830002,68790000
1960-06-01,57.26,1.95,3.26,29.6,4.15,483.3,16.46,27.52,17.82,55.889999,58,55.889999,56.919998,56.919998,76480000
1960-07-01,55.84,1.95,3.26,29.6,3.9,471.31,16.46,27.54,17.38,57.060001,57.380001,54.169998,55.509998,55.509998,53860000
1960-08-01,56.51,1.95,3.27,29.6,3.8,476.97,16.46,27.57,17.58,55.529999,58.07,54.720001,56.959999,56.959999,65330000
1960-09-01,54.81,1.95,3.27,29.6,3.8,462.62,16.46,27.6,17.05,57.09,57.09,52.48,53.52,53.52,60840000
1960-10-01,53.73,1.95,3.27,29.8,3.89,450.46,16.35,27.41,16.61,53.360001,54.860001,52.200001,53.389999,53.389999,54370000
1960-11-01,55.47,1.95,3.27,29.8,3.93,465.05,16.35,27.41,17.15,53.939999,56.43,53.939999,55.540001,55.540001,62010000
1960-12-01,56.8,1.95,3.27,29.8,3.84,476.2,16.35,27.41,17.56,55.299999,58.110001,55.299999,58.110001,58.110001,77330000
1961-01-01,59.72,1.95,3.21,29.8,3.84,500.68,16.32,26.91,18.47,57.57,61.970001,57.57,61.779999,61.779999,89010000
1961-02-01,62.17,1.94,3.15,29.8,3.78,521.22,16.29,26.41,19.23,61.900002,63.439999,61.139999,63.439999,63.439999,92730000
1961-03-01,64.12,1.94,3.09,29.8,3.74,537.57,16.26,25.91,19.84,63.43,65.059998,63.380001,65.059998,65.059998,115050000
1961-04-01,65.83,1.94,3.07,29.8,3.78,551.9,16.26,25.74,20.38,65.599998,68.68,64.400002,65.309998,65.309998,101760000
1961-05-01,66.5,1.94,3.05,29.8,3.71,557.52,16.26,25.57,20.6,65.169998,67.389999,65.169998,66.559998,66.559998,96940000
1961-06-01,65.62,1.94,3.03,29.8,3.88,550.14,16.26,25.4,20.33,66.559998,67.080002,64.470001,64.639999,64.639999,73090000
1961-07-01,65.44,1.95,3.04,30,3.92,544.97,16.21,25.29,20.15,65.209999,66.760002,64.410004,66.760002,66.760002,60840000
1961-08-01,67.79,1.95,3.04,29.9,4.04,566.43,16.32,25.43,20.94,67.370003,68.440002,66.940002,68.07,68.07,81490000
1961-09-01,67.26,1.96,3.05,30,3.98,560.13,16.32,25.4,20.71,68.190002,68.459999,65.769997,66.730003,66.730003,63820000
1961-10-01,68,1.98,3.1,30,3.92,566.29,16.49,25.79,20.92,66.769997,68.620003,66.730003,68.620003,68.620003,72980000
1961-11-01,71.08,2,3.14,30,3.94,591.94,16.66,26.18,21.86,68.730003,71.849998,68.730003,71.32,71.32,87770000
1961-12-01,71.74,2.02,3.19,30,4.06,597.44,16.82,26.57,22.04,71.779999,72.639999,70.860001,71.550003,71.550003,82380000
1962-01-01,69.07,2.03,3.25,30,4.08,575.2,16.88,27.07,21.2,71.550003,71.959999,67.550003,68.839996,68.839996,80790000
1962-02-01,70.22,2.03,3.31,30.1,4.04,582.84,16.88,27.47,21.45,68.839996,71.129997,68.559998,69.959999,69.959999,66130000
1962-03-01,70.29,2.04,3.37,30.1,3.93,583.42,16.93,27.97,21.44,69.959999,71.440002,69.160004,69.550003,69.550003,68440000
1962-04-01,68.05,2.05,3.4,30.2,3.84,562.96,16.93,28.15,20.66,69.550003,69.82,64.949997,65.239998,65.239998,65240000
1962-05-01,62.99,2.05,3.44,30.2,3.87,521.1,16.99,28.43,19.09,65.239998,66.93,53.130001,59.630001,59.630001,111030000
1962-06-01,55.63,2.06,3.47,30.2,3.91,460.21,17.04,28.71,16.83,59.630001,59.959999,51.349998,54.75,54.75,100160000
1962-07-01,56.97,2.07,3.49,30.3,4.01,469.74,17.04,28.78,17.14,54.75,58.669998,54.470001,58.23,58.23,74160000
1962-08-01,58.52,2.07,3.51,30.3,3.98,482.52,17.1,28.94,17.57,58.23,60.330002,56.759998,59.119999,59.119999,80400000
1962-09-01,58,2.08,3.53,30.4,3.98,476.66,17.09,29.01,17.32,59.119999,59.540001,55.529999,56.27,56.27,62890000
1962-10-01,56.17,2.1,3.58,30.4,3.93,461.62,17.23,29.39,16.74,56.27,57.830002,52.549999,56.52,56.52,78690000
1962-11-01,60.04,2.11,3.62,30.4,3.92,493.43,17.37,29.78,17.85,56.52,62.779999,55.900002,62.259998,62.259998,96020000
1962-12-01,62.64,2.13,3.67,30.4,3.86,514.79,17.5,30.16,18.59,62.259998,63.5,61.279999,63.099998,63.099998,80870000
1963-01-01,65.06,2.14,3.68,30.4,3.83,534.68,17.56,30.27,19.26,63.099998,66.589996,62.32,66.199997,66.199997,101970000
1963-02-01,65.92,2.14,3.7,30.4,3.92,541.75,17.61,30.38,19.47,66.309998,66.959999,64.080002,64.290001,64.290001,79120000
1963-03-01,65.67,2.15,3.71,30.5,3.93,537.92,17.61,30.39,19.29,64.290001,67.010002,63.799999,66.57,66.57,74760000
1963-04-01,68.76,2.17,3.75,30.5,3.97,563.24,17.75,30.74,20.15,66.57,70.18,66.230003,69.800003,69.800003,106290000
1963-05-01,70.14,2.18,3.8,30.5,3.93,574.54,17.88,31.1,20.51,69.800003,71.139999,69.029999,70.800003,70.800003,105070000
1963-06-01,70.11,2.2,3.84,30.6,3.99,572.42,17.96,31.35,20.38,70.800003,71.239998,68.779999,69.370003,69.370003,90580000
1963-07-01,69.07,2.2,3.88,30.7,4.02,562.09,17.93,31.58,19.97,69.370003,70.480003,67.540001,69.129997,69.129997,76310000
1963-08-01,70.98,2.21,3.92,30.7,4,577.63,17.96,31.9,20.47,69.129997,72.709999,68.639999,72.5,72.5,91650000
1963-09-01,72.85,2.21,3.96,30.7,4.08,592.85,17.98,32.23,20.96,72.5,73.870003,71.279999,71.699997,71.699997,106620000
1963-10-01,73.03,2.23,3.98,30.8,4.11,592.39,18.12,32.28,20.89,71.699997,75.18,71.57,74.010002,74.010002,122360000
1963-11-01,72.62,2.26,4,30.8,4.12,589.06,18.31,32.45,20.72,74.010002,74.440002,69.480003,73.230003,73.230003,93990000
1963-12-01,74.17,2.28,4.02,30.9,4.13,599.69,18.43,32.5,21.04,73.230003,75.360001,73.019997,75.019997,75.019997,98660000
1964-01-01,76.45,2.3,4.07,30.9,4.17,618.12,18.57,32.93,21.63,75.019997,77.779999,74.82,77.040001,77.040001,116620000
1964-02-01,77.39,2.31,4.13,30.9,4.15,625.72,18.7,33.37,21.83,77.040001,78.309998,76.360001,77.800003,77.800003,88110000
1964-03-01,78.8,2.33,4.18,30.9,4.22,637.12,18.84,33.8,22.17,77.800003,79.889999,77.5,78.980003,78.980003,113760000
1964-04-01,79.94,2.35,4.23,30.9,4.23,646.34,18.97,34.2,22.42,78.980003,81.199997,78.669998,79.459999,79.459999,123490000
1964-05-01,80.72,2.36,4.28,30.9,4.2,652.64,19.11,34.61,22.57,79.459999,81.809998,79.459999,80.370003,80.370003,99150000
1964-06-01,80.24,2.38,4.33,31,4.17,646.67,19.18,34.9,22.3,80.370003,82.099998,78.150002,81.690002,81.690002,96150000
1964-07-01,83.22,2.4,4.38,31.1,4.19,668.53,19.28,35.16,22.98,81.690002,84.330002,81.459999,83.18,83.18,102590000
1964-08-01,82,2.42,4.42,31,4.19,660.86,19.5,35.65,22.65,83.18,83.489998,80.800003,81.830002,81.830002,82280000
1964-09-01,83.41,2.44,4.47,31.1,4.2,670.06,19.6,35.91,22.89,81.830002,84.800003,81.57,84.18,84.18,109770000
1964-10-01,84.85,2.46,4.5,31.1,4.19,681.63,19.76,36.12,23.21,84.18,85.699997,83.650002,84.860001,84.860001,106550000
1964-11-01,85.44,2.48,4.52,31.2,4.15,684.16,19.86,36.22,23.23,84.860001,86.800003,84.099998,84.419998,84.419998,93640000
1964-12-01,83.96,2.5,4.55,31.2,4.18,672.31,20.02,36.43,22.75,84.419998,85.18,82.650002,84.75,84.75,104010000
1965-01-01,86.12,2.52,4.59,31.2,4.19,689.61,20.15,36.78,23.27,84.75,88.190002,83.769997,87.559998,87.559998,109130000
1965-02-01,86.75,2.53,4.64,31.2,4.21,694.65,20.29,37.13,23.37,87.559998,88.059998,85.25,87.43,87.43,112280000
1965-03-01,86.83,2.55,4.68,31.3,4.21,693.07,20.35,37.36,23.25,87.43,87.93,85.650002,86.160004,86.160004,124830000
